,totalSeasons,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Actors,Year,Genre,Awards,Runtime,Type,Poster,imdbVotes,imdbID,Awards Wins,Awards Nominated,Primetime Emmys Wins,Primetime Emmys Nominations,Oscar Nominations,Oscar Wins,Golden Globe Nominations,Golden Globe Wins,BAFTA Nominations,BAFTA Wins
584,none,A writer's young assistant becomes both pawn and catalyst in his boss's disintegrating household.,R,True,English,The Door in the Floor,USA,John Irving (novel); Tod Williams (screenplay),67,6.7,Tod Williams,06 Aug 2004,Elle Fanning; Jeff Bridges; Kim Basinger; Jon Foster,2004,Comedy; Drama,2 wins & 7 nominations.,111 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MDY2MzQ0MV5BMl5BanBnXkFtZTcwMDc1ODUyMQ@@._V1_SX300.jpg,13544,tt0348593,2,7,0,0,0,0,0,0,0,0
638,none,A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school; while he must deal with his bizarre family life back home.,PG,True,English,Napoleon Dynamite,USA,Jared Hess; Jerusha Hess,64,6.9,Jared Hess,27 Aug 2004,Jon Heder; Jon Gries; Aaron Ruell; Efren Ramirez,2004,Comedy,10 wins & 22 nominations.,96 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNjYwNTA3MDIyMl5BMl5BanBnXkFtZTYwMjIxNjA3._V1_SX300.jpg,163866,tt0374900,10,22,0,0,0,0,0,0,0,0
643,none,The Bride continues her quest of vengeance against her former boss and lover Bill; the reclusive bouncer Budd and the treacherous; one-eyed Elle.,R,True,English; Cantonese; Mandarin; Spanish,Kill Bill: Vol. 2,USA,Quentin Tarantino; Quentin Tarantino (character The Bride); Uma Thurman (character The Bride),83,8.0,Quentin Tarantino,16 Apr 2004,Vivica A. Fox; Ambrosia Kelley; Michael Parks; James Parks,2004,Action; Crime; Drama,Nominated for 2 Golden Globes. Another 21 wins & 72 nominations.,137 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwNzQ3MDIxMV5BMl5BanBnXkFtZTcwMDIxMzUyMQ@@._V1_SX300.jpg,523137,tt0378194,21,74,0,0,0,0,2,0,0,0
681,none,Two strangers awaken in a room with no recollection of how they got there or why; and soon discover they are pawns in a deadly game perpetrated by a notorious serial killer.,R,True,English,Saw,USA,Leigh Whannell; James Wan (story); Leigh Whannell (story),46,7.7,James Wan,29 Oct 2004,Leigh Whannell; Cary Elwes; Danny Glover; Ken Leung,2004,Horror; Mystery; Thriller,8 wins & 10 nominations.,103 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MDYzNDE1OV5BMl5BanBnXkFtZTcwNDY2OTYwNA@@._V1_SX300.jpg,306290,tt0387564,8,10,0,0,0,0,0,0,0,0
690,none,London-based Emily Wang gained minor notoriety from her VJ-ing on cable television. She is now more renowned for being the longtime girlfriend and pseudo manager of rock musician Lee Hauser...,R,True,French; English; Cantonese,Clean,France; Canada; UK,Olivier Assayas,75,6.9,Olivier Assayas,01 Sep 2004,Maggie Cheung; Nick Nolte; Béatrice Dalle; Jeanne Balibar,2004,Drama; Music; Romance,2 wins & 8 nominations.,90 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2OTY4ODgwN15BMl5BanBnXkFtZTcwMDgxODgzMQ@@._V1_SX300.jpg,3954,tt0388838,2,8,0,0,0,0,0,0,0,0
1201,none,During the near end of the clone wars; Darth Sidious has revealed himself and is ready to execute the last part of his plan to rule the Galaxy. Sidious is ready for his new apprentice; Lord...,PG-13,True,English,Star Wars: Episode III - Revenge of the Sith,USA,George Lucas,68,7.6,George Lucas,19 May 2005,Ewan McGregor; Natalie Portman; Hayden Christensen; Ian McDiarmid,2005,Action; Adventure; Fantasy,Nominated for 1 Oscar. Another 25 wins & 51 nominations.,140 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_SX300.jpg,531290,tt0121766,25,52,0,0,1,0,0,0,0,0
1205,none,A werewolf loose in Los Angeles changes the lives of three young adults; who; after being mauled by the beast; learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too.,PG-13,True,English,Cursed,USA; Germany,Kevin Williamson,31,5.0,Wes Craven,25 Feb 2005,Portia de Rossi; Mya; Shannon Elizabeth; Kristina Anapau,2005,Comedy; Horror,2 nominations.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjdhZDk5ZjYtMTQ3Yi00YzM4LThiMDItYzgyNTUwNTI2OGY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,26531,tt0257516,0,2,0,0,0,0,0,0,0,0
1207,none,A failed police negotiator turned small-town cop; must save the lives of a family held hostage; which draws him into a much more dangerous situation.,R,True,English,Hostage,USA; Germany,Robert Crais (novel); Doug Richardson (screenplay),44,6.6,Florent-Emilio Siri,11 Mar 2005,Bruce Willis; Kevin Pollak; Jimmy Bennett; Michelle Horn,2005,Action; Crime; Drama,4 nominations.,113 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BN2JiNmYzZGQtN2M0YS00NTdiLWE0ZTgtOTcxZDc4MTk0YzliXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,94833,tt0340163,0,4,0,0,0,0,0,0,0,0
1208,none,When her husband unexpectedly disappears; a sharp-witted suburban wife and her daughters juggle their mom's romantic dilemmas and family dynamics.,R,True,English,The Upside of Anger,USA; Germany; UK,Mike Binder,63,6.9,Mike Binder,01 Apr 2005,Joan Allen; Kevin Costner; Erika Christensen; Keri Russell,2005,Comedy; Drama,5 wins & 12 nominations.,118 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyODM2MzUzM15BMl5BanBnXkFtZTcwMDQ4MzgyMQ@@._V1_SX300.jpg,19188,tt0365885,5,12,0,0,0,0,0,0,0,0
1212,none,The extremely talented Santiago Munez is given a chance at professional football; after being spotted by a scout who has ties with Newcastle United.,PG-13,True,English; Spanish,Goal! The Dream Begins,USA; UK,Mike Jefferies (story); Adrian Butchart (screenplay); Dick Clement (screenplay); Ian La Frenais (screenplay); Mike Jefferies (screenplay),53,6.8,Danny Cannon,12 May 2006,Leonardo Guerra; Tony Plana; Miriam Colon; Kuno Becker,2005,Drama; Romance; Sport,1 win & 6 nominations.,118 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxNDk2Njk1OV5BMl5BanBnXkFtZTcwOTE5MzIzMQ@@._V1_SX300.jpg,51672,tt0380389,1,6,0,0,0,0,0,0,0,0
1217,none,A shady lawyer attempts a Christmas Eve crime; hoping to swindle the local mob out of some money. But his partner; a strip club owner; might have different plans for the cash.,R,True,English,The Ice Harvest,USA,Richard Russo (screenplay); Robert Benton (screenplay); Scott Phillips (novel),62,6.3,Harold Ramis,23 Nov 2005,John Cusack; Billy Bob Thornton; Lara Phillips; Bill Noble,2005,Comedy; Crime; Drama,2 nominations.,92 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwNzk2MjQyNl5BMl5BanBnXkFtZTcwMjA0MjEzMQ@@._V1_SX300.jpg,20963,tt0400525,0,2,0,0,0,0,0,0,0,0
1219,none,Picking up directly from the previous film; vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them.,R,True,English; French; Hungarian,Underworld: Evolution,USA,Danny McBride (screenplay); Len Wiseman (story); Danny McBride (story); Kevin Grevioux (characters); Len Wiseman (characters); Danny McBride (characters),36,6.8,Len Wiseman,20 Jan 2006,Kate Beckinsale; Scott Speedman; Tony Curran; Derek Jacobi,2006,Action; Adventure; Fantasy,2 wins & 6 nominations.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNDY1OTQwOV5BMl5BanBnXkFtZTcwNjcxMTIzMw@@._V1_SX300.jpg,158946,tt0401855,2,6,0,0,0,0,0,0,0,0
1220,none,Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly.,PG,True,English; Greek; Spanish,The Sisterhood of the Traveling Pants,USA,Ann Brashares (novel); Delia Ephron (screenplay); Elizabeth Chandler (screenplay),66,6.5,Ken Kwapis,01 Jun 2005,Amber Tamblyn; Alexis Bledel; America Ferrera; Blake Lively,2005,Comedy; Drama; Family,1 win & 14 nominations.,119 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4MjUwNjc2M15BMl5BanBnXkFtZTcwMzk0MzMzMQ@@._V1_SX300.jpg,45432,tt0403508,1,14,0,0,0,0,0,0,0,0
1221,none,As Earth is invaded by alien tripod fighting machines; one family fights for survival.,PG-13,True,English,War of the Worlds,USA,Josh Friedman (screenplay); David Koepp (screenplay); H.G. Wells (novel),73,6.5,Steven Spielberg,29 Jun 2005,Tom Cruise; Dakota Fanning; Miranda Otto; Justin Chatwin,2005,Adventure; Sci-Fi; Thriller,Nominated for 3 Oscars. Another 13 wins & 40 nominations.,116 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNDUyODAzNDI1Nl5BMl5BanBnXkFtZTcwMDA2NDAzMw@@._V1_SX300.jpg,339185,tt0407304,13,43,0,0,3,0,0,0,0,0
1233,none,Based on the 1980s TV action/drama; this update focuses on vice detectives Crockett and Tubbs as their respective personal and professional lives become dangerously intertwined.,R,True,English; Spanish,Miami Vice,USA; Germany; Paraguay; Uruguay,Michael Mann; Anthony Yerkovich (TV series),65,6.0,Michael Mann,28 Jul 2006,Colin Farrell; Jamie Foxx; Li Gong; Naomie Harris,2006,Action; Crime; Thriller,1 win & 9 nominations.,134 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4MDQ5MTkxMV5BMl5BanBnXkFtZTcwMTU4MzUzMQ@@._V1_SX300.jpg,93783,tt0430357,1,9,0,0,0,0,0,0,0,0
1234,none,Novelist Catherine Tramell is once again in trouble with the law; and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though; like Detective Nick Curran before him; Glass is entranced by Tramell and lured into a seductive game.,R,True,English,Basic Instinct 2,UK; Germany; Spain; USA,Leora Barish; Henry Bean; Joe Eszterhas (characters),26,4.2,Michael Caton-Jones,31 Mar 2006,Stan Collymore; Sharon Stone; Neil Maskell; David Thewlis,2006,Crime; Mystery; Thriller,8 wins & 6 nominations.,114 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNzM3ODY3Nl5BMl5BanBnXkFtZTcwNzMyNDcyNA@@._V1_SX300.jpg,31506,tt0430912,8,6,0,0,0,0,0,0,0,0
1238,none,A caving expedition goes horribly wrong; as the explorers become trapped and ultimately pursued by a strange breed of predators.,R,True,English,The Descent,UK,Neil Marshall,71,7.2,Neil Marshall,04 Aug 2006,Shauna Macdonald; Natalie Mendoza; Alex Reid; Saskia Mulder,2005,Adventure; Horror; Thriller,8 wins & 17 nominations.,99 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5NzQ1NTgwNV5BMl5BanBnXkFtZTcwNjUxMzUzMw@@._V1_SX300.jpg,158301,tt0435625,8,17,0,0,0,0,0,0,0,0
1267,none,In a bid to keep their luxurious condo from their significant other; a couple's break-up proceeds to get uglier and nastier by the moment.,PG-13,True,English,The Break-Up,USA,Jeremy Garelick (screenplay); Jay Lavender (screenplay); Vince Vaughn (story); Jeremy Garelick (story); Jay Lavender (story),45,5.8,Peyton Reed,02 Jun 2006,Vince Vaughn; Jennifer Aniston; Joey Lauren Adams; Cole Hauser,2006,Comedy; Drama; Romance,2 wins & 5 nominations.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTM1YjVhNTMtZTEyZi00ODk3LWI4NDItZWUyZTA1ODM3Zjk4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,103565,tt0452594,2,5,0,0,0,0,0,0,0,0
1269,none,An escaped maniac returns to his childhood home on Christmas Eve; which is now a sorority house; and begins to murder the sorority sisters one by one.,R,True,English,Black Christmas,USA; Canada,Glen Morgan (screenplay); Roy Moore,22,4.5,Glen Morgan,25 Dec 2006,Katie Cassidy; Michelle Trachtenberg; Mary Elizabeth Winstead; Lacey Chabert,2006,Horror,1 nomination.,84 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMjA4MzAxNl5BMl5BanBnXkFtZTcwNjYxNDY0MQ@@._V1_SX300.jpg,20096,tt0454082,0,1,0,0,0,0,0,0,0,0
1274,none,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional endeavor.,PG-13,True,English; Cantonese,The Pursuit of Happyness,USA,Steve Conrad,64,8.0,Gabriele Muccino,15 Dec 2006,Will Smith; Jaden Smith; Thandie Newton; Brian Howe,2006,Biography; Drama,Nominated for 1 Oscar. Another 11 wins & 24 nominations.,117 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NjQ0NDI3NF5BMl5BanBnXkFtZTcwNDI0MjEzMw@@._V1_SX300.jpg,346199,tt0454921,11,25,0,0,1,0,0,0,0,0
1324,none,The movie is a coming-of-age drama about a boy growing up in Astoria; N.Y.; during the 1980s. As his friends end up dead; on drugs or in prison; he comes to believe he has been saved from their fate by various so-called saints.,R,True,English; Spanish,A Guide to Recognizing Your Saints,USA,Dito Montiel (book); Dito Montiel,67,7.1,Dito Montiel,13 Oct 2006,Dianne Wiest; Robert Downey Jr.; Shia LaBeouf; Melonie Diaz,2006,Crime; Drama,7 wins & 9 nominations.,100 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNjk4MzIyMzUxMV5BMl5BanBnXkFtZTcwNTk4NTU0MQ@@._V1_SX300.jpg,22436,tt0473488,7,9,0,0,0,0,0,0,0,0
