Word,Frequency,Rank,,,,
whom,1361,166,,,,
it.,1354,167,,,,
long,1350,168,,,,
things,1328,169,,,,
therefore,1326,170,,,,
land,1312,171,,,,
away,1291,172,,,,
its,1286,173,,,,
thus,1267,174,,,,
father,1236,175,,,,
well,1224,176,,,,
took,1223,177,,,,
hast,1199,178,,,,
brought,1199,179,,,,
just,1180,180,,,,
saith,1172,181,,,,
"god,",1170,182,,,,
them.,1148,183,,,,
thought,1143,184,,,,
"behold,",1143,185,,,,
found,1128,186,,,,
set,1124,187,,,,
still,1121,188,,,,
israel,1106,189,,,,
same,1103,190,,,,
way,1103,191,,,,
off,1101,192,,,,
under,1097,193,,,,
miss,1094,194,,,,
nothing,1089,195,,,,
three,1088,196,,,,
neither,1082,197,,,,
ever,1081,198,,,,
young,1081,199,,,,
while,1075,200,,,,
too,1074,201,,,,
tell,1063,202,,,,
seemed,1045,203,,,,
himself,1036,204,,,,
called,1030,205,,,,
quite,1026,206,,,,
round,1006,207,,,,
name,998,208,,,,
"and,",987,209,,,,
till,979,210,,,,
last,978,211,,,,
hear,976,212,,,,
here,976,213,,,,
again,974,214,,,,
thine,972,215,,,,
bring,966,216,,,,
soon,962,217,,,,
forth,961,218,,,,
always,950,219,,,,
"man,",945,220,,,,
both,944,221,,,,
me.,931,222,,,,
look,928,223,,,,
word,918,224,,,,
place,912,225,,,,
cried,911,226,,,,
gave,907,227,,,,
looked,906,228,,,,
sent,898,229,,,,
sons,895,230,,,,
left,880,231,,,,
"her,",871,232,,,,
done,868,233,,,,
according,864,234,,,,
eyes,863,235,,,,
another,862,236,,,,
whole,856,237,,,,
face,833,238,,,,
stood,832,239,,,,
why,828,240,,,,
something,825,241,,,,
heart,820,242,,,,
right,813,243,,,,
back,808,244,,,,
days,808,245,,,,
whose,807,246,,,,
far,802,247,,,,
head,799,248,,,,
mine,795,249,,,,
given,794,250,,,,
cannot,785,251,,,,
jesus,780,252,,,,
each,777,253,,,,
high,776,254,,,,
"say,",774,255,,,,
"israel,",773,256,,,,
seen,771,257,,,,
speak,750,258,,,,
rather,748,259,,,,
almost,744,260,,,,
told,742,261,,,,
between,737,262,,,,
lord.,736,263,,,,
voice,727,264,,,,
david,722,265,,,,
get,714,266,,,,
full,713,267,,,,
don't,712,268,,,,
going,708,269,,,,
new,707,270,,,,
poor,706,271,,,,
having,703,272,,,,
"now,",701,273,,,,
love,700,274,,,,
knew,694,275,,,,
keep,690,276,,,,
better,689,277,,,,
captain,688,278,,,,
part,686,279,,,,
once,683,280,,,,
find,679,281,,,,
half,676,282,,,,
hundred,676,283,,,,
turned,668,284,,,,
end,666,285,,,,
side,664,286,,,,
words,662,287,,,,
began,658,288,,,,
years,655,289,,,,
earth,649,290,,,,
"day,",649,291,,,,
art,645,292,,,,
white,643,293,,,,
eat,642,294,,,,
you.,640,295,,,,
life,639,296,,,,
sure,638,297,,,,
thousand,638,298,,,,
really,630,299,,,,
answered,623,300,,,,
few,623,301,,,,
"""you",615,302,,,,
"people,",606,303,,,,
"house,",606,304,,,,
holy,599,305,,,,
god.,599,306,,,,
cast,591,307,,,,
none,588,308,,,,
hands,585,309,,,,
pass,578,310,,,,
whether,577,311,,,,
"not,",576,312,,,,
taken,574,313,,,,
evil,571,314,,,,
stand,569,315,,,,
city,568,316,,,,
call,567,317,,,,
"""and",566,318,,,,
work,562,319,,,,
spake,561,320,,,,
"hand,",557,321,,,,
"then,",556,322,,,,
world,554,323,,,,
felt,546,324,,,,
thee.,545,325,,,,
whale,539,326,,,,
woman,538,327,,,,
"up,",537,328,,,,
does,533,329,,,,
enough,533,330,,,,
mother,530,331,,,,
"again,",530,332,,,,
lady,528,333,,,,
fear,528,334,,,,
"time,",525,335,,,,
seven,525,336,,,,
within,524,337,,,,
sat,523,338,,,,
four,521,339,,,,
"""but",518,340,,,,
sort,517,341,,,,
asked,515,342,,,,
five,514,343,,,,
"that,",511,344,,,,
night,509,345,,,,
turn,508,346,,,,
cut,508,347,,,,
"all,",508,348,,,,
next,505,349,,,,
believe,505,350,,,,
until,504,351,,,,
bear,500,352,,,,
known,495,353,,,,
moses,493,354,,,,
spirit,492,355,,,,
him;,492,356,,,,
soul,492,357,,,,
want,491,358,,,,
"us,",491,359,,,,
"men,",488,360,,,,
gone,488,361,,,,
rest,486,362,,,,
hope,486,363,,,,
it;,482,364,,,,
emma,482,365,,,,
looking,482,366,,,,
towards,481,367,,,,
herself,481,368,,,,
"earth,",480,369,,,,
hold,480,370,,,,
near,479,371,,,,
themselves,479,372,,,,
since,476,373,,,,
sea,476,374,,,,
strong,475,375,,,,
certain,475,376,,,,
fell,475,377,,,,
best,470,378,,,,
lay,469,379,,,,
heaven,469,380,,,,
got,468,381,,,,
small,466,382,,,,
toward,466,383,,,,
light,465,384,,,,
body,463,385,,,,
mind,461,386,,,,
above,460,387,,,,
leave,458,388,,,,
"however,",457,389,,,,
"he,",454,390,,,,
"is,",453,391,,,,
"father,",453,392,,,,
sight,452,393,,,,
her.,449,394,,,,
moment,444,395,,,,
present,439,396,,,,
ten,439,397,,,,
enter,438,398,,,,
dear,438,399,,,,
haue,434,400,,,,
less,433,401,,,,
open,431,402,,,,
blood,430,403,,,,
together,430,404,,,,
"""it",430,405,,,,
"pass,",429,406,,,,
wish,427,407,,,,
midst,426,408,,,,
"come,",414,409,,,,
kept,412,410,,,,
commanded,412,411,,,,
priest,411,412,,,,
door,411,413,,,,
passed,409,414,,,,
morning,409,415,,,,
coming,409,416,,,,
happy,407,417,,,,
offering,406,418,,,,
sir,404,419,,,,
"there,",404,420,,,,
fire,404,421,,,,
them;,402,422,,,,
power,399,423,,,,
myself,398,424,,,,
"this,",397,425,,,,
"son,",397,426,,,,
"king,",395,427,,,,
pray,395,428,,,,
cause,394,429,,,,
"out,",393,430,,,,
feel,391,431,,,,
least,391,432,,,,
burnt,389,433,,,,
"land,",389,434,,,,
"so,",389,435,,,,
fine,388,436,,,,
"""the",388,437,,,,
"way,",387,438,,,,
"well,",386,439,,,,
second,384,440,,,,
mighty,383,441,,,,
walk,383,442,,,,
"was,",382,443,,,,
"sea,",381,444,,,,
},381,445,,,,
send,380,446,,,,
along,380,447,,,,
year,380,448,,,,
brother,379,449,,,,
twenty,378,450,,,,
able,378,451,,,,
dead,374,452,,,,
judah,373,453,,,,
him:,373,454,,,,
behind,373,455,,,,
perhaps,372,456,,,,
black,372,457,,,,
"i,",370,458,,,,
ask,370,459,,,,
often,366,460,,,,
return,365,461,,,,
"night,",364,462,,,,
law,363,463,,,,
laid,363,464,,,,
reason,363,465,,,,
"""what",361,466,,,,
surely,361,467,,,,
large,359,468,,,,
dwell,358,469,,,,
glory,358,470,,,,
cities,357,471,,,,
friend,357,472,,,,
fall,357,473,,,,
servant,354,474,,,,
mr,354,475,,,,
water,354,476,,,,
help,353,477,,,,
daughter,352,478,,,,
elinor,349,479,,,,
death,348,480,,,,
ought,348,481,,,,
wherefore,347,482,,,,
"down,",345,483,,,,
chief,345,484,,,,
"yea,",344,485,,,,
ran,344,486,,,,
strange,343,487,,,,
else,343,488,,,,
"heart,",343,489,,,,
mean,343,490,,,,
"heaven,",343,491,,,,
"""that",341,492,,,,
"himself,",341,493,,,,
kind,341,494,,,,
ship,340,495,,,,
israel.,340,496,,,,
living,340,497,,,,
ham.,339,498,,,,
walked,339,499,,,,
"know,",338,500,,,,
live,336,501,,,,
peace,335,502,,,,
red,335,503,,,,
all.,334,504,,,,
servants,331,505,,,,
"world,",330,506,,,,
john,329,507,,,,
sin,329,508,,,,
"away,",329,509,,,,
thereof,328,510,,,,
beyond,328,511,,,,
afraid,328,512,,,,
chapter,328,513,,,,
remember,328,514,,,,
man's,327,515,,,,
lord:,327,516,,,,
them:,327,517,,,,
received,327,518,,,,
me;,327,519,,,,
feet,326,520,,,,
sweet,326,521,,,,
"life,",326,522,,,,
spoken,325,523,,,,
seeing,325,524,,,,
ready,325,525,,,,
certainly,325,526,,,,
home,325,527,,,,
"eyes,",324,528,,,,
replied,323,529,,,,
six,323,530,,,,
save,323,531,,,,
anne,323,532,,,,
mouth,320,533,,,,
me:,320,534,,,,
i'm,320,535,,,,
become,319,536,,,,
manner,318,537,,,,
"thereof,",318,538,,,,
day.,317,539,,,,
meet,316,540,,,,
seek,315,541,,,,
blessed,315,542,,,,
"voice,",315,543,,,,
"things,",315,544,,,,
sit,314,545,,,,
"place,",314,546,,,,
king's,313,547,,,,
deal,310,548,,,,
i'll,310,549,,,,
shew,309,550,,,,
it's,309,551,,,,
"but,",309,552,,,,
anything,309,553,,,,
syme,308,554,,,,
mrs,308,555,,,,
understand,308,556,,,,
either,308,557,,,,
kings,307,558,,,,
again.,307,559,,,,
hardly,305,560,,,,
drink,304,561,,,,
returned,304,562,,,,
family,304,563,,,,
making,303,564,,,,
carried,303,565,,,,
"city,",303,566,,,,
glad,303,567,,,,
sun,302,568,,,,
hour,302,569,,,,
green,302,570,,,,
matter,301,571,,,,
lord;,300,572,,,,
room,300,573,,,,
deliver,300,574,,,,
answer,299,575,,,,
"indeed,",299,576,,,,
"on,",299,577,,,,
rose,298,578,,,,
wife,298,579,,,,
gathered,298,580,,,,
broken,297,581,,,,
lest,297,582,,,,
ahab,297,583,,,,
praise,296,584,,,,
offer,295,585,,,,
behold,295,586,,,,
wicked,295,587,,,,
"judah,",294,588,,,,
others,292,589,,,,
concerning,292,590,,,,
book,292,591,,,,
written,292,592,,,,
"head,",291,593,,,,
eye,290,594,,,,
"here,",290,595,,,,
talk,288,596,,,,
delivered,287,597,,,,
"brethren,",287,598,,,,
"therefore,",287,599,,,,
"together,",285,600,,,,
suddenly,285,601,,,,
times,284,602,,,,
doth,284,603,,,,
used,283,604,,,,
seem,282,605,,,,
"herself,",282,606,,,,
dark,282,607,,,,
evening,281,608,,,,
immediately,280,609,,,,
became,280,610,,,,
destroy,278,611,,,,
saying,278,612,,,,
priests,278,613,,,,
third,277,614,,,,
sword,277,615,,,,
"jerusalem,",277,616,,,,
"""oh,",277,617,,,,
opened,277,618,,,,
father's,275,619,,,,
wilt,274,620,,,,
flesh,274,621,,,,
pleasure,274,622,,,,
marianne,274,623,,,,
read,273,624,,,,
mount,273,625,,,,
hard,272,626,,,,
indeed,272,627,,,,
not.,272,628,,,,
standing,271,629,,,,
"sir,",271,630,,,,
christ,270,631,,,,
waters,270,632,,,,
"one,",270,633,,,,
gold,269,634,,,,
saul,269,635,,,,
person,269,636,,,,
can't,268,637,,,,
TRUE,268,638,,,,
receive,268,639,,,,
boy,268,640,,,,
god;,267,641,,,,
"be,",267,642,,,,
air,266,643,,,,
comes,266,644,,,,
"thou,",266,645,,,,
"side,",265,646,,,,
wild,264,647,,,,
followed,263,648,,,,
kingdom,263,649,,,,
common,263,650,,,,
except,262,651,,,,
sound,262,652,,,,
thee:,262,653,,,,
"mother,",262,654,,,,
run,261,655,,,,
doubt,261,656,,,,
judge,259,657,,,,
money,259,658,,,,
"morning,",259,659,,,,
fathers,258,660,,,,
"death,",257,661,,,,
need,257,662,,,,
"see,",257,663,,,,
sometimes,256,664,,,,
"moses,",254,665,,,,
continued,253,666,,,,
thee;,253,667,,,,
that's,253,668,,,,
truth,252,669,,,,
"more,",252,670,,,,
"go,",252,671,,,,
king.,251,672,,,,
"egypt,",251,673,,,,
bad,251,674,,,,
turnbull,250,675,,,,
close,249,676,,,,
sister,248,677,,,,
colonel,248,678,,,,
top,248,679,,,,
use,246,680,,,,
serve,246,681,,,,
"children,",245,682,,,,
house.,245,683,,,,
pretty,245,684,,,,
hand.,245,685,,,,
"""he",245,686,,,,
fair,244,687,,,,
sing,244,688,,,,
jerusalem,244,689,,,,
held,243,690,,,,
smote,242,691,,,,
wise,242,692,,,,
general,242,693,,,,
earth.,241,694,,,,
bread,240,695,,,,
"for,",240,696,,,,
joy,240,697,,,,
"no,",240,698,,,,
already,240,699,,,,
seed,239,700,,,,
meat,239,701,,,,
child,238,702,,,,
filled,238,703,,,,
taking,237,704,,,,
us.,237,705,,,,
point,237,706,,,,
tabernacle,236,707,,,,
lifted,236,708,,,,
man.,236,709,,,,
"other,",236,710,,,,
"which,",235,711,,,,
angel,235,712,,,,
course,234,713,,,,
real,233,714,,,,
"in,",233,715,,,,
break,233,716,,,,
cry,232,717,,,,
short,232,718,,,,
tribe,231,719,,,,
early,231,720,,,,
lost,230,721,,,,
women,230,722,,,,
number,230,723,,,,
dwelt,230,724,,,,
appeared,230,725,,,,
begat,229,726,,,,
means,228,727,,,,
mercy,228,728,,,,
"face,",228,729,,,,
suppose,227,730,,,,
perfect,227,731,,,,
seems,227,732,,,,
rise,226,733,,,,
fruit,226,734,,,,
across,226,735,,,,
"do,",226,736,,,,
brown,225,737,,,,
cometh,225,738,,,,
people.,225,739,,,,
"gold,",225,740,,,,
"love,",225,741,,,,
sitting,224,742,,,,
harriet,224,743,,,,
lie,223,744,,,,
perfectly,223,745,,,,
alice,223,746,,,,
drew,223,747,,,,
tree,223,748,,,,
human,222,749,,,,
deep,222,750,,,,
idea,221,751,,,,
"also,",221,752,,,,
hair,221,753,,,,
"long,",221,754,,,,
strength,221,755,,,,
ever.,221,756,,,,
fast,220,757,,,,
silver,220,758,,,,
caught,220,759,,,,
knowledge,220,760,,,,
weston,219,761,,,,
god:,219,762,,,,
sperm,219,763,,,,
wanted,219,764,,,,
visit,219,765,,,,
bare,219,766,,,,
fight,219,767,,,,
"whale,",218,768,,,,
alone,218,769,,,,
it:,218,770,,,,
care,218,771,,,,
garden,216,772,,,,
nations,216,773,,,,
wait,216,774,,,,
nature,216,775,,,,
"wife,",216,776,,,,
entered,216,777,,,,
follow,216,778,,,,
inhabitants,215,779,,,,
"david,",215,780,,,,
sense,215,781,,,,
honour,215,782,,,,
"it.""",215,783,,,,
thirty,215,784,,,,
gate,214,785,,,,
macian,214,786,,,,
beside,213,787,,,,
length,213,788,,,,
born,213,789,,,,
"fire,",212,790,,,,
"days,",212,791,,,,
war,212,792,,,,
beginning,212,793,,,,
"water,",212,794,,,,
friends,212,795,,,,
talked,211,796,,,,
spread,211,797,,,,
"last,",211,798,,,,
"thing,",211,799,,,,
"words,",211,800,,,,
met,211,801,,,,
greater,211,802,,,,
"off,",211,803,,,,
"""well,",211,804,,,,
altar,211,805,,,,
"woman,",210,806,,,,
country,210,807,,,,
letter,210,808,,,,
covenant,210,809,,,,
led,210,810,,,,
business,210,811,,,,
time.,210,812,,,,
"name,",209,813,,,,
buster,209,814,,,,
free,208,815,,,,
away.,208,816,,,,
giving,208,817,,,,
solomon,208,818,,,,
judgment,208,819,,,,
trees,207,820,,,,
turning,207,821,,,,
me?,207,822,,,,
lived,207,823,,,,
big,206,824,,,,
thoughts,206,825,,,,
"done,",206,826,,,,
beautiful,206,827,,,,
built,206,828,,,,
aaron,205,829,,,,
low,205,830,,,,
wherein,204,831,,,,
obliged,204,832,,,,
"who,",204,833,,,,
"she,",204,834,,,,
whatever,204,835,,,,
kill,204,836,,,,
mother's,204,837,,,,
longer,204,838,,,,
pleased,203,839,,,,
faith,203,840,,,,
struck,201,841,,,,
jane,201,842,,,,
brethren,201,843,,,,
ground,200,844,,,,
forty,200,845,,,,
show,200,846,,,,
you;,200,847,,,,
slew,200,848,,,,
men.,200,849,,,,
there.,200,850,,,,
thinking,200,851,,,,
you:,199,852,,,,
gather,199,853,,,,
"elinor,",199,854,,,,
"hands,",198,855,,,,
carry,198,856,,,,
talking,198,857,,,,
"good,",198,858,,,,
"too,",198,859,,,,
shut,198,860,,,,
"fathers,",197,861,,,,
change,197,862,,,,
won't,196,863,,,,
princes,195,864,,,,
die,195,865,,,,
stay,195,866,,,,
trust,195,867,,,,
"offering,",195,868,,,,
doing,194,869,,,,
walking,194,870,,,,
exactly,194,871,,,,
grace,194,872,,,,
twelve,194,873,,,,
jacob,193,874,,,,
"""no,",193,875,,,,
"oh,",193,876,,,,
offered,193,877,,,,
"""my",193,878,,,,
"""yes,",193,879,,,,
loved,193,880,,,,
there's,193,881,,,,
mere,192,882,,,,
frank,192,883,,,,
her;,192,884,,,,
"""if",192,885,,,,
"dead,",192,886,,,,
master,191,887,,,,
fifty,191,888,,,,
"brother,",191,889,,,,
dare,191,890,,,,
cold,191,891,,,,
instant,190,892,,,,
"""we",190,893,,,,
believed,189,894,,,,
land.,189,895,,,,
ark,189,896,,,,
sought,189,897,,,,
throughout,188,898,,,,
pay,188,899,,,,
spirits,188,900,,,,
congregation,187,901,,,,
"sons,",187,902,,,,
"friend,",187,903,,,,
"another,",187,904,,,,
particular,187,905,,,,
way.,187,906,,,,
forward,187,907,,,,
"marianne,",187,908,,,,
tried,187,909,,,,
"yes,",187,910,,,,
wonder,186,911,,,,
sacrifice,186,912,,,,
field,186,913,,,,
around,186,914,,,,
whosoever,185,915,,,,
"word,",185,916,,,,
"ye,",185,917,,,,
company,185,918,,,,
works,185,919,,,,
ere,184,920,,,,
secret,184,921,,,,
multitude,184,922,,,,
knightley,184,923,,,,
"myself,",183,924,,,,
forget,183,925,,,,
sudden,183,926,,,,
wall,183,927,,,,
"light,",183,928,,,,
"turnbull,",182,929,,,,
wind,182,930,,,,
"soul,",181,931,,,,
"air,",181,932,,,,
"lo,",181,933,,,,
everything,181,934,,,,
life.,181,935,,,,
thyself,180,936,,,,
spoke,180,937,,,,
build,180,938,,,,
places,180,939,,,,
nobody,180,940,,,,
natural,180,941,,,,
more.,180,942,,,,
state,179,943,,,,
instead,179,944,,,,
order,179,945,,,,
golden,179,946,,,,
bright,178,947,,,,
blue,178,948,,,,
several,178,949,,,,
desire,178,950,,,,
added,178,951,,,,
itself,177,952,,,,
"sword,",177,953,,,,
speaking,177,954,,,,
case,176,955,,,,
reigned,175,956,,,,
comfort,175,957,,,,
different,175,958,,,,
"first,",175,959,,,,
heavy,175,960,,,,
draw,175,961,,,,
"home,",174,962,,,,
elton,174,963,,,,
command,174,964,,,,
try,173,965,,,,
daughters,173,966,,,,
stone,173,967,,,,
mary,173,968,,,,
silent,173,969,,,,
jerusalem.,172,970,,,,
'tis,172,971,,,,
place.,171,972,,,,
righteous,171,973,,,,
party,171,974,,,,
bless,171,975,,,,
please,170,976,,,,
world.,170,977,,,,
clear,170,978,,,,
river,169,979,,,,
departed,169,980,,,,
"priest,",169,981,,,,
he's,169,982,,,,
himself.,169,983,,,,
"themselves,",168,984,,,,
farmer,168,985,,,,
account,168,986,,,,
equal,168,987,,,,
"before,",168,988,,,,
boat,168,989,,,,
past,168,990,,,,
feelings,167,991,,,,
repeated,167,992,,,,
possible,167,993,,,,
i've,167,994,,,,
sea.,166,995,,,,
anger,166,996,,,,
"emma,",166,997,,,,
sorry,166,998,,,,
host,166,999,,,,
gentleman,165,1000,,,,
"about,",165,1001,,,,
makes,165,1002,,,,
running,164,1003,,,,
"servants,",164,1004,,,,
east,164,1005,,,,
israel:,164,1006,,,,
play,163,1007,,,,
"law,",163,1008,,,,
pleasant,163,1009,,,,
prepared,163,1010,,,,
didn't,163,1011,,,,
egypt,163,1012,,,,
touch,163,1013,,,,
noise,163,1014,,,,
"years,",162,1015,,,,
death.,162,1016,,,,
presence,162,1017,,,,
bound,162,1018,,,,
"blood,",162,1019,,,,
out.,162,1020,,,,
goes,162,1021,,,,
de,162,1022,,,,
write,161,1023,,,,
iron,161,1024,,,,
wished,160,1025,,,,
merely,160,1026,,,,
joshua,160,1027,,,,
moreover,160,1028,,,,
"yet,",160,1029,,,,
vast,160,1030,,,,
remained,160,1031,,,,
didst,159,1032,,,,
former,159,1033,,,,
entirely,159,1034,,,,
foot,159,1035,,,,
meant,159,1036,,,,
(for,159,1037,,,,
fresh,158,1038,,,,
charge,158,1039,,,,
thence,158,1040,,,,
up.,158,1041,,,,
wisdom,158,1042,,,,
fallen,158,1043,,,,
"""oh!",158,1044,,,,
"door,",158,1045,,,,
prince,158,1046,,,,
"perhaps,",158,1047,,,,
"peace,",158,1048,,,,
rich,158,1049,,,,
south,158,1050,,,,
late,158,1051,,,,
appear,158,1052,,,,
shewed,157,1053,,,,
grew,157,1054,,,,
covered,157,1055,,,,
raised,156,1056,,,,
"friends,",156,1057,,,,
died,155,1058,,,,
burn,155,1059,,,,
"old,",155,1060,,,,
gods,155,1061,,,,
figure,155,1062,,,,
assure,155,1063,,,,
consider,154,1064,,,,
knowing,154,1065,,,,
regard,154,1066,,,,
thee?,154,1067,,,,
wrath,154,1068,,,,
prophet,154,1069,,,,
vpon,154,1070,,,,
"mouth,",154,1071,,,,
you?,154,1072,,,,
arm,154,1073,,,,
line,154,1074,,,,
not:,153,1075,,,,
teach,153,1076,,,,
head.,153,1077,,,,
bru.,153,1078,,,,
determined,153,1079,,,,
fat,153,1080,,,,
sleep,152,1081,,,,
fixed,152,1082,,,,
"back,",152,1083,,,,
whatsoever,152,1084,,,,
loud,152,1085,,,,
taught,152,1086,,,,
vain,152,1087,,,,
excellent,152,1088,,,,
dr.,152,1089,,,,
it?,152,1090,,,,
husband,151,1091,,,,
however,151,1092,,,,
"""a",151,1093,,,,
rejoice,151,1094,,,,
hid,151,1095,,,,
"will,",150,1096,,,,
silence,150,1097,,,,
table,150,1098,,,,
oh,150,1099,,,,
nigh,150,1100,,,,
feeling,150,1101,,,,
broad,150,1102,,,,
story,149,1103,,,,
heads,149,1104,,,,
curious,149,1105,,,,
fit,149,1106,,,,
rising,149,1107,,,,
"room,",149,1108,,,,
not;,149,1109,,,,
whence,149,1110,,,,
"answered,",148,1111,,,,
inheritance,148,1112,,,,
"""how",148,1113,,,,
whales,148,1114,,,,
further,148,1115,,,,
ways,148,1116,,,,
"feet,",148,1117,,,,
houses,148,1118,,,,
fancy,148,1119,,,,
tongue,148,1120,,,,
throne,147,1121,,,,
ears,147,1122,,,,
worth,147,1123,,,,
"mind,",147,1124,,,,
hate,147,1125,,,,
jews,147,1126,,,,
do.,147,1127,,,,
"rest,",147,1128,,,,
english,147,1129,,,,
promised,147,1130,,,,
whither,147,1131,,,,
says,147,1132,,,,
"""there",146,1133,,,,
thank,146,1134,,,,
grow,146,1135,,,,
promise,146,1136,,,,
darkness,146,1137,,,,
wine,146,1138,,,,
righteousness,146,1139,,,,
levites,146,1140,,,,
remain,146,1141,,,,
plain,146,1142,,,,
wood,146,1143,,,,
grey,145,1144,,,,
object,145,1145,,,,
"you.""",145,1146,,,,
disciples,145,1147,,,,
"sure,",144,1148,,,,
front,144,1149,,,,
"work,",144,1150,,,,
form,144,1151,,,,
worse,144,1152,,,,
trouble,143,1153,,,,
"over,",143,1154,,,,
service,143,1155,,,,
subject,143,1156,,,,
sign,143,1157,,,,
looks,143,1158,,,,
lift,143,1159,,,,
"month,",143,1160,,,,
hours,142,1161,,,,
"christ,",142,1162,,,,
said.,142,1163,,,,
israel;,142,1164,,,,
proper,142,1165,,,,
thing.,142,1166,,,,
knows,142,1167,,,,
destroyed,141,1168,,,,
"moment,",141,1169,,,,
interest,141,1170,,,,
fled,141,1171,,,,
moved,141,1172,,,,
"silver,",141,1173,,,,
other.,141,1174,,,,
noble,141,1175,,,,
taste,140,1176,,,,
border,140,1177,,,,
bow,140,1178,,,,
"body,",140,1179,,,,
buried,140,1180,,,,
yourself,140,1181,,,,
somewhat,140,1182,,,,
"spirit,",140,1183,,,,
especially,140,1184,,,,
elders,139,1185,,,,
afterwards,139,1186,,,,
fond,139,1187,,,,
happened,139,1188,,,,
cloud,139,1189,,,,
commandment,139,1190,,,,
song,139,1191,,,,
"did,",139,1192,,,,
"why,",139,1193,,,,
'i,138,1194,,,,
"child,",138,1195,,,,
nearly,138,1196,,,,
"ground,",138,1197,,,,
slain,138,1198,,,,
philistines,138,1199,,,,
thereof.,138,1200,,,,
heart.,138,1201,,,,
enemies,138,1202,,,,
edward,138,1203,,,,
watch,138,1204,,,,
worthy,138,1205,,,,
chance,138,1206,,,,
appointed,138,1207,,,,
joseph,138,1208,,,,
thick,138,1209,,,,
vessels,138,1210,,,,
ladies,137,1211,,,,
everybody,137,1212,,,,
minutes,137,1213,,,,
